Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,9870.000000,9968.000000,9225.000000,9430.000000,9218.098633,924820
2024-01-08,9420.000000,10020.000000,9300.000000,9810.000000,9589.559570,410453
2024-01-15,9790.000000,10020.000000,9640.280273,9750.000000,9530.908203,344214
2024-01-22,9810.000000,9950.000000,9420.000000,9935.000000,9829.947266,300011
2024-01-29,9945.000000,10060.000000,9769.200195,9865.000000,9760.687500,201551
2024-02-05,9805.000000,9950.000000,9560.000000,9755.000000,9651.850586,202819
2024-02-12,9900.000000,9950.000000,9500.000000,9685.000000,9582.590820,181074
2024-02-19,9960.000000,10070.000000,9647.726563,9725.000000,9622.166992,244178
2024-02-26,9710.000000,9780.000000,9405.000000,9500.000000,9399.546875,253145
2024-03-04,9580.000000,9655.000000,9325.000000,9610.000000,9508.383789,217664
2024-03-11,9530.000000,10051.933594,9460.000000,9970.000000,9864.577148,556716
2024-03-18,9970.000000,10380.000000,9840.000000,10270.000000,10161.404297,419222
2024-03-25,10150.000000,10260.000000,9765.000000,10040.000000,9933.836914,142702
2024-04-01,9995.000000,10240.000000,9700.000000,9800.000000,9696.374023,136151
2024-04-08,9800.000000,10177.481445,9700.000000,9850.000000,9850.000000,233158
2024-04-15,9825.000000,10410.000000,9400.000000,9525.000000,9525.000000,438674
2024-04-22,9595.000000,9650.000000,9530.000000,9635.000000,9635.000000,29784
2024-04-23,9665.000000,9830.000000,9595.000000,9755.000000,9755.000000,45296
