0.00,0.00
1.00,100.00
2.00,200.00
3.00,300.00
4.00,400.00
5.00,500.00
6.00,600.00
7.00,700.00
8.00,800.00
9.00,900.00
10.00,1000.00
11.00,1100.00
12.00,1200.00
13.00,1300.00
14.00,1400.00
15.00,1500.00
16.00,1600.00
17.00,1700.00
18.00,1800.00
19.00,1900.00
20.00,2000.00
21.00,2100.00
22.00,2200.00
23.00,2300.00
24.00,2400.00
25.00,2500.00
26.00,2600.00
27.00,2700.00
28.00,2800.00
29.00,2900.00
30.00,3000.00
31.00,3100.00
32.00,3200.00
33.00,3300.00
34.00,3400.00
35.00,3500.00
36.00,3600.00
37.00,3700.00
38.00,3800.00
39.00,3900.00
40.00,4000.00
41.00,4100.00
42.00,4200.00
43.00,4300.00
44.00,4400.00
45.00,4500.00
46.00,4600.00
47.00,4700.00
48.00,4800.00
49.00,4900.00
50.00,5000.00
51.00,5100.00
52.00,5200.00
53.00,5300.00
54.00,5400.00
55.00,5500.00
56.00,5600.00
57.00,5700.00
58.00,5800.00
59.00,5900.00
60.00,6000.00
61.00,6100.00
62.00,6200.00
63.00,6300.00
64.00,6400.00
65.00,6500.00
66.00,6600.00
67.00,6700.00
68.00,6800.00
69.00,6900.00
70.00,7000.00
71.00,7100.00
72.00,7200.00
73.00,7300.00
74.00,7400.00
75.00,7500.00
76.00,7600.00
77.00,7700.00
78.00,7800.00
79.00,7900.00
80.00,8000.00
81.00,8100.00
82.00,8200.00
83.00,8300.00
84.00,8400.00
85.00,8500.00
86.00,8600.00
87.00,8700.00
88.00,8800.00
89.00,8900.00
90.00,9000.00
91.00,9100.00
92.00,9200.00
93.00,9300.00
94.00,9400.00
95.00,9500.00
96.00,9600.00
97.00,9700.00
98.00,9800.00
99.00,9900.00
100.00,10000.00
